Run_ID,Processors,Cores,Algo,AODtype,Level,Total_events,Job_Throughput(events/ms),Job_Read_Throughput(events/ms),VMem_max_GB,RSS_max_GB,PSS_max_GB,DAOD_size_GB
1,1,2,LZMA,TTree,1,1000,0.0015,0.0346,18.19,12.97,5.05,0.0419
2,1,2,LZMA,TTree,1,1000,0.0015,0.0291,18.27,13.23,5.77,0.0419
3,1,2,LZMA,TTree,1,1000,0.0015,0.0359,18.2,12.86,5.24,0.0419
4,1,2,LZMA,TTree,1,1000,0.0015,0.0424,18.19,12.85,5.23,0.0419
5,1,2,LZMA,TTree,1,1000,0.0015,0.0421,18.19,12.91,5.26,0.0419
1,1,4,LZMA,TTree,1,1000,0.0024,0.0504,27.51,19.59,7.16,0.0402
2,1,4,LZMA,TTree,1,1000,0.0024,0.0502,27.51,19.61,7.18,0.0403
3,1,4,LZMA,TTree,1,1000,0.0024,0.0383,29.83,19.57,7.16,0.0402
4,1,4,LZMA,TTree,1,1000,0.0024,0.0449,27.49,19.62,7.17,0.0403
5,1,4,LZMA,TTree,1,1000,0.0023,0.0451,27.5,19.75,7.31,0.0402
