Algo,AOD_type,7000events_level1,7000events_level5,7000events_level9,28000events_level1,28000events_level5,28000events_level9,56000events_level1,56000events_level5,56000events_level9,112000events_level1,112000events_level5,112000events_level9
LZMA,TTree,2.7743372349068522,,,10.987966681830585,,,22.092319280840456,,,44.25556309707463,
LZMA,Rntuple,2.4372263168916106,2.3549521137028933,2.347708429209888,9.647785486653447,9.31579776853323,9.28669032920152,19.40809999126941,18.73592913802713,18.682282998226583,38.87285329028964,37.541994175248383,37.449057492744526
ZSTD,Rntuple,2.55967004224658,2.475830767303705,2.395001414231956,10.137155306525528,9.796508233062923,9.475843313150108,20.386879270896316,19.70283563248813,19.05269404593855,40.847884738599855,39.475962282590543,38.161572058607427
LZ4,Rntuple,3.0227266401052475,2.718142168596387,2.665734210051596,11.969192036427557,10.762128353118896,10.552012046799064,24.068130229599774,21.643794171512127,21.22141011338681,48.194308107,43.36052016727626,42.5295961362887194
ZLib,Rntuple,2.5973614659160376,2.4956570537760854,2.465769504196942,10.283488938584924,9.876100194640458,9.756110209971666,20.683076206594706,19.862994434311986,19.626503081060946,41.43795282766223,39.785751224270065,39.298940030202244
