Algo,AOD_type,7000events_level1,7000events_level5,7000events_level9
LZMA,TTree,2.6827386198565364,
LZMA,Rntuple,2.2890194496139884,2.2186540365219116,2.21317985560745
ZSTD,Rntuple,2.39387727715075,2.3189239241182804,2.256036057136953
LZ4,Rntuple,2.775859611108899,2.5305871926248074,2.4897949965670705
ZLib,Rntuple,2.4219745583832264,2.3363351691514254,2.3075451543554664
